city,city_ibge_code,confirmed,date,index
Águas Mornas,4200606,0,2020-03-12,1
Águas Mornas,4200606,0,2020-03-13,2
Águas Mornas,4200606,0,2020-03-14,3
Águas Mornas,4200606,0,2020-03-15,4
Águas Mornas,4200606,0,2020-03-16,5
Águas Mornas,4200606,0,2020-03-17,6
Águas Mornas,4200606,0,2020-03-18,7
Águas Mornas,4200606,0,2020-03-19,8
Águas Mornas,4200606,0,2020-03-20,9
Águas Mornas,4200606,0,2020-03-21,10
Águas Mornas,4200606,0,2020-03-22,11
Águas Mornas,4200606,0,2020-03-23,12
Águas Mornas,4200606,0,2020-03-24,13
Águas Mornas,4200606,0,2020-03-25,14
Águas Mornas,4200606,0,2020-03-26,15
Águas Mornas,4200606,0,2020-03-27,16
Águas Mornas,4200606,0,2020-03-28,17
Águas Mornas,4200606,0,2020-03-29,18
Águas Mornas,4200606,0,2020-03-30,19
Águas Mornas,4200606,0,2020-03-31,20
Águas Mornas,4200606,0,2020-04-01,21
Águas Mornas,4200606,0,2020-04-02,22
Águas Mornas,4200606,0,2020-04-03,23
Águas Mornas,4200606,0,2020-04-04,24
Águas Mornas,4200606,0,2020-04-05,25
Águas Mornas,4200606,1,2020-04-06,26
Águas Mornas,4200606,1,2020-04-07,27
Águas Mornas,4200606,1,2020-04-08,28
Águas Mornas,4200606,1,2020-04-09,29
Águas Mornas,4200606,1,2020-04-10,30
Anita Garibaldi,4201000,0,2020-03-12,1
Anita Garibaldi,4201000,0,2020-03-13,2
Anita Garibaldi,4201000,0,2020-03-14,3
Anita Garibaldi,4201000,0,2020-03-15,4
Anita Garibaldi,4201000,0,2020-03-16,5
Anita Garibaldi,4201000,0,2020-03-17,6
Anita Garibaldi,4201000,0,2020-03-18,7
Anita Garibaldi,4201000,0,2020-03-19,8
Anita Garibaldi,4201000,0,2020-03-20,9
Anita Garibaldi,4201000,0,2020-03-21,10
Anita Garibaldi,4201000,0,2020-03-22,11
Anita Garibaldi,4201000,0,2020-03-23,12
Anita Garibaldi,4201000,0,2020-03-24,13
Anita Garibaldi,4201000,0,2020-03-25,14
Anita Garibaldi,4201000,0,2020-03-26,15
Anita Garibaldi,4201000,0,2020-03-27,16
Anita Garibaldi,4201000,0,2020-03-28,17
Anita Garibaldi,4201000,0,2020-03-29,18
Anita Garibaldi,4201000,0,2020-03-30,19
Anita Garibaldi,4201000,0,2020-03-31,20
Anita Garibaldi,4201000,0,2020-04-01,21
Anita Garibaldi,4201000,0,2020-04-02,22
Anita Garibaldi,4201000,0,2020-04-03,23
Anita Garibaldi,4201000,0,2020-04-04,24
Anita Garibaldi,4201000,0,2020-04-05,25
Anita Garibaldi,4201000,0,2020-04-06,26
Anita Garibaldi,4201000,1,2020-04-07,27
Anita Garibaldi,4201000,1,2020-04-08,28
Anita Garibaldi,4201000,1,2020-04-09,29
Anita Garibaldi,4201000,1,2020-04-10,30
Antônio Carlos,4201208,0,2020-03-12,1
Antônio Carlos,4201208,0,2020-03-13,2
Antônio Carlos,4201208,0,2020-03-14,3
Antônio Carlos,4201208,0,2020-03-15,4
Antônio Carlos,4201208,0,2020-03-16,5
Antônio Carlos,4201208,0,2020-03-17,6
Antônio Carlos,4201208,0,2020-03-18,7
Antônio Carlos,4201208,0,2020-03-19,8
Antônio Carlos,4201208,0,2020-03-20,9
Antônio Carlos,4201208,0,2020-03-21,10
Antônio Carlos,4201208,0,2020-03-22,11
Antônio Carlos,4201208,0,2020-03-23,12
Antônio Carlos,4201208,0,2020-03-24,13
Antônio Carlos,4201208,0,2020-03-25,14
Antônio Carlos,4201208,0,2020-03-26,15
Antônio Carlos,4201208,1,2020-03-27,16
Antônio Carlos,4201208,1,2020-03-28,17
Antônio Carlos,4201208,1,2020-03-29,18
Antônio Carlos,4201208,1,2020-03-30,19
Antônio Carlos,4201208,1,2020-03-31,20
Antônio Carlos,4201208,1,2020-04-01,21
